timestamp,action_type,hand_speed,leg_speed,movement_intensity,l_elbow_angle,r_elbow_angle,l_hand_speed,r_hand_speed
6.8412,punch_right,1.4101,0.5039,0.957,64.18,129.05,0.6987,1.4101
6.8746,backward_movement,0.6919,0.1719,0.4319,55.07,112.28,0.1775,0.6919
6.9079,backward_movement,0.9161,0.2457,0.5809,55.2,100.69,0.1512,0.9161
6.9413,backward_movement,0.7514,0.1268,0.4391,52.92,87.13,0.2473,0.7514
6.9747,backward_movement,0.7364,0.0697,0.403,48.67,78.64,0.461,0.7364
7.008,backward_movement,0.5649,0.1182,0.3416,42.67,62.02,0.4548,0.5649
7.0414,backward_movement,0.5264,0.1397,0.3331,37.54,60.73,0.5264,0.4578
7.0748,forward_movement,0.1987,0.2961,0.2474,37.82,58.85,0.1987,0.1467
7.1082,backward_movement,0.3337,0.1916,0.2626,36.27,60.15,0.1189,0.3337
7.1415,backward_movement,0.3027,0.1548,0.2288,34.48,63.32,0.3027,0.2106
7.1749,backward_movement,0.3441,0.1348,0.2395,32.72,70.35,0.3441,0.0816
7.2083,forward_movement,0.0749,0.2255,0.1502,40.28,64.44,0.0173,0.0749
7.2416,backward_movement,0.2563,0.1882,0.2222,26.82,59.87,0.2563,0.2434
7.275,backward_movement,0.1164,0.251,0.1837,32.48,61.89,0.1164,0.0747
7.3084,forward_movement,0.1522,0.1074,0.1298,40.35,63.78,0.1409,0.1522
7.3418,backward_movement,0.2824,0.1859,0.2342,43.74,74.63,0.1406,0.2824
7.3751,forward_movement,0.2376,0.115,0.1763,39.59,63.51,0.1258,0.2376
7.4085,guard_position,0.5246,0.159,0.3418,38.39,75.24,0.0745,0.5246
7.4419,guard_position,0.1522,0.2523,0.2022,44.32,69.84,0.0993,0.1522
7.4753,forward_movement,0.3072,0.1335,0.2203,47.46,69.84,0.3072,0.1459
7.5086,forward_movement,0.3222,0.0841,0.2032,41.9,63.37,0.3222,0.1142
7.542,forward_movement,0.4146,0.2297,0.3221,36.39,63.04,0.1001,0.4146
7.5754,forward_movement,0.4301,0.1392,0.2846,36.11,69.0,0.2971,0.4301
7.6087,forward_movement,0.5616,0.1154,0.3385,38.78,84.07,0.4496,0.5616
7.6421,forward_movement,0.2998,0.1154,0.2076,40.63,81.65,0.1815,0.2998
7.6755,forward_movement,0.3965,0.1002,0.2484,39.91,72.01,0.1598,0.3965
7.7089,kick_low,1.3008,0.9226,1.1117,67.14,68.88,1.3008,0.2783
7.7422,forward_movement,0.9354,0.3421,0.6388,85.98,68.96,0.9354,0.3523
7.7756,punch_left,1.5178,0.2572,0.8875,119.98,76.45,1.5178,0.3688
7.809,kick_low,1.2889,1.6423,1.4656,152.99,72.43,1.2889,0.0715
7.8423,kick_low,0.8662,4.8212,2.8437,157.59,75.54,0.8662,0.4084
7.8757,kick_low,0.5494,1.244,0.8967,154.76,67.61,0.1418,0.5494
7.9091,backward_movement,0.5317,0.2591,0.3954,142.98,69.25,0.5317,0.1447
7.9425,guard_position,0.3648,0.3368,0.3508,110.86,68.44,0.343,0.3648
7.9758,backward_movement,1.0405,0.3202,0.6804,95.04,65.39,1.0405,0.386
8.0092,guard_position,0.8788,0.251,0.5649,69.36,64.98,0.8788,0.1262
8.0426,backward_movement,0.6594,0.2202,0.4398,54.59,64.87,0.6594,0.1531
8.0759,backward_movement,0.3569,0.0789,0.2179,55.79,69.49,0.2069,0.3569
8.1093,forward_movement,0.2467,0.1875,0.2171,49.76,71.58,0.2467,0.1923
8.1427,forward_movement,0.7198,0.0828,0.4013,43.83,79.53,0.2007,0.7198
8.1761,forward_movement,0.6354,0.1307,0.383,41.5,86.87,0.078,0.6354
8.2094,guard_position,0.3666,0.2363,0.3015,42.05,87.67,0.0641,0.3666
8.2428,guard_position,0.2139,0.1853,0.1996,41.27,82.56,0.186,0.2139
8.2762,forward_movement,0.1413,0.2285,0.1849,48.21,66.3,0.1044,0.1413
8.3095,forward_movement,0.3981,0.1291,0.2636,45.62,57.05,0.3981,0.2805
8.3429,forward_movement,0.4371,0.1681,0.3026,35.07,66.81,0.1069,0.4371
8.3763,forward_movement,0.4568,0.7829,0.6199,40.2,76.43,0.1814,0.4568
8.4097,backward_movement,0.3694,0.4439,0.4066,50.82,86.51,0.3694,0.2883
8.443,guard_position,0.279,0.6308,0.4549,56.96,80.65,0.279,0.0611
8.4764,kick_low,0.3299,1.1237,0.7268,58.62,85.61,0.3299,0.0682
8.5098,kick_low,0.4016,1.8342,1.1179,50.07,88.18,0.1745,0.4016
8.5431,kick_low,0.5287,1.8731,1.2009,49.03,104.6,0.5287,0.2526
8.5765,kick_low,0.2784,2.2788,1.2786,55.82,106.05,0.2414,0.2784
8.6099,kick_low,0.4069,2.8865,1.6467,61.78,104.7,0.4069,0.2189
8.6433,kick_low,0.9888,2.499,1.7439,49.19,93.77,0.9888,0.4747
8.6766,kick_low,1.597,5.945,3.771,8.63,83.76,1.597,0.4738
8.71,kick_low,1.5005,5.3594,3.4299,41.23,83.52,1.5005,0.3641
8.7434,kick_low,3.5891,4.0938,3.8414,35.42,105.81,0.3603,3.5891
8.7767,kick_low,2.7697,3.4487,3.1092,45.33,41.19,2.7697,0.5229
8.8101,kick_low,3.2746,2.7156,2.9951,45.78,83.46,3.2746,2.6048
8.8435,kick_low,1.2817,2.1126,1.6971,17.77,93.03,1.2788,1.2817
8.8769,kick_low,0.8412,1.7752,1.3082,34.38,110.72,0.8412,0.8407
8.9102,kick_low,0.1065,2.0287,1.0676,44.57,119.23,0.0832,0.1065
8.9436,kick_low,0.3533,3.2122,1.7827,61.82,114.02,0.1769,0.3533
