timestamp,action_type,hand_speed,leg_speed,movement_intensity,l_elbow_angle,r_elbow_angle,l_hand_speed,r_hand_speed
5.1726,kick_low,1.4871,3.0234,2.2552,91.81,126.68,1.4871,1.0675
5.206,kick_low,2.7118,2.1065,2.4091,69.66,84.12,2.7118,2.6753
5.2394,kick_low,4.8421,5.8014,5.3218,28.94,162.71,0.6747,4.8421
5.2727,kick_low,4.8917,5.1416,5.0167,140.74,157.6,4.8917,4.7111
5.3061,kick_low,3.4711,2.399,2.9351,62.29,147.34,3.4711,0.8345
5.3395,kick_low,6.901,9.8182,8.3596,150.27,146.47,6.901,4.8187
5.3728,kick_low,4.7264,6.1654,5.4459,132.65,119.06,3.7329,4.7264
5.4062,kick_low,3.3233,9.5219,6.4226,168.27,134.06,1.3801,3.3233
5.4396,kick_low,3.3856,6.097,4.7413,158.76,136.94,2.4716,3.3856
5.473,kick_low,11.0201,16.6961,13.8581,146.13,35.39,11.0201,9.5429
5.5063,kick_low,17.3347,10.184,13.7594,139.72,161.57,17.3347,17.021
5.5397,kick_low,25.8572,25.2347,25.546,82.04,179.49,25.8572,10.8758
5.5731,kick_low,47.686,36.7366,42.2113,81.67,78.92,47.686,31.6941
5.6064,kick_low,3.0243,5.1199,4.0721,69.51,136.85,2.2466,3.0243
5.6398,kick_low,1.2232,1.0268,1.125,75.72,147.4,0.6816,1.2232
5.6732,kick_low,0.1022,1.0077,0.555,70.25,147.77,0.1022,0.0983
5.7066,kick_low,1.2887,1.4924,1.3906,64.91,73.96,0.5254,1.2887
5.7399,kick_low,0.449,1.4057,0.9273,62.69,158.17,0.1512,0.449
5.7733,kick_low,0.8069,8.7833,4.7951,54.57,83.77,0.3356,0.8069
5.8067,kick_low,2.1181,1.1574,1.6377,55.45,41.86,0.4988,2.1181
5.84,kick_low,0.5962,1.3222,0.9592,46.8,62.81,0.5962,0.3292
5.8734,punch_right,2.0536,0.7397,1.3967,45.67,110.07,0.2534,2.0536
5.9068,guard_position,1.5654,0.1369,0.8512,39.05,46.63,0.5203,1.5654
5.9402,forward_movement,0.9432,0.4562,0.6997,42.64,60.5,0.2121,0.9432
5.9735,backward_movement,0.3296,0.3308,0.3302,43.94,52.96,0.1981,0.3296
6.0069,backward_movement,0.5973,0.1843,0.3908,43.42,72.18,0.5939,0.5973
6.0403,forward_movement,0.9094,0.4263,0.6678,37.42,49.82,0.211,0.9094
6.0736,backward_movement,0.6517,0.112,0.3819,42.98,83.03,0.2584,0.6517
6.107,forward_movement,0.4786,0.2812,0.3799,40.68,82.91,0.1639,0.4786
6.1404,backward_movement,0.6969,0.1613,0.4291,41.78,100.63,0.0956,0.6969
6.1738,forward_movement,0.8205,0.0604,0.4405,36.72,51.17,0.11,0.8205
6.2071,backward_movement,0.5509,0.1242,0.3375,44.75,66.58,0.4584,0.5509
